Found new layout. Num iterations: 12406576, Best results size: 35
Found new layout. Num iterations: 12406605, Best results size: 35
Found new layout. Num iterations: 12406612, Best results size: 36
Found new layout. Num iterations: 12406620, Best results size: 35
Found new layout. Num iterations: 12406629, Best results size: 36
Found new layout. Num iterations: 12406925, Best results size: 34
Found new layout. Num iterations: 12406950, Best results size: 35
Found new layout. Num iterations: 12406957, Best results size: 36
Found new layout. Num iterations: 12406964, Best results size: 36
Found new layout. Num iterations: 12406990, Best results size: 32
Found new layout. Num iterations: 12407004, Best results size: 32
Found new layout. Num iterations: 12407030, Best results size: 33
Found new layout. Num iterations: 12407037, Best results size: 33
Found new layout. Num iterations: 12407362, Best results size: 34
Found new layout. Num iterations: 12407433, Best results size: 33
Found new layout. Num iterations: 12407789, Best results size: 32
Found new layout. Num iterations: 12407805, Best results size: 33
Found new layout. Num iterations: 12407862, Best results size: 33
Found new layout. Num iterations: 12407875, Best results size: 34
Found new layout. Num iterations: 12408239, Best results size: 34
Found new layout. Num iterations: 12408246, Best results size: 34
Found new layout. Num iterations: 12408300, Best results size: 31
Found new layout. Num iterations: 12408319, Best results size: 31
Found new layout. Num iterations: 12408326, Best results size: 31
Found new layout. Num iterations: 12408768, Best results size: 32
Found new layout. Num iterations: 12411129, Best results size: 33
Found new layout. Num iterations: 12411160, Best results size: 33
Found new layout. Num iterations: 12411167, Best results size: 34
Found new layout. Num iterations: 12411202, Best results size: 34
Found new layout. Num iterations: 12411209, Best results size: 34
Found new layout. Num iterations: 12411249, Best results size: 34
Found new layout. Num iterations: 12411843, Best results size: 33
Found new layout. Num iterations: 12411850, Best results size: 34
Found new layout. Num iterations: 12411857, Best results size: 35
Found new layout. Num iterations: 12411908, Best results size: 34
Found new layout. Num iterations: 12411915, Best results size: 33
Found new layout. Num iterations: 12411922, Best results size: 34
Found new layout. Num iterations: 12411930, Best results size: 35
Found new layout. Num iterations: 12412439, Best results size: 35
Found new layout. Num iterations: 12412452, Best results size: 36
Found new layout. Num iterations: 12412459, Best results size: 37
Found new layout. Num iterations: 12412503, Best results size: 36
Found new layout. Num iterations: 12412510, Best results size: 36
Found new layout. Num iterations: 12412517, Best results size: 34
Found new layout. Num iterations: 12412525, Best results size: 34
Found new layout. Num iterations: 12412532, Best results size: 35
Found new layout. Num iterations: 12412540, Best results size: 34
Found new layout. Num iterations: 12413099, Best results size: 35
Found new layout. Num iterations: 12420000, Best results size: 36
Found new layout. Num iterations: 12420026, Best results size: 33
Found new layout. Num iterations: 12420037, Best results size: 32
Found new layout. Num iterations: 12420616, Best results size: 33
Found new layout. Num iterations: 12420627, Best results size: 34
Found new layout. Num iterations: 12420640, Best results size: 35
Found new layout. Num iterations: 12421191, Best results size: 36
Found new layout. Num iterations: 12421211, Best results size: 35
Found new layout. Num iterations: 12421236, Best results size: 36
Found new layout. Num iterations: 12421830, Best results size: 35
Found new layout. Num iterations: 12425630, Best results size: 36
Found new layout. Num iterations: 12517723, Best results size: 34
Found new layout. Num iterations: 12517866, Best results size: 35
Found new layout. Num iterations: 12518267, Best results size: 32
Found new layout. Num iterations: 12518286, Best results size: 33
Found new layout. Num iterations: 12518959, Best results size: 32
Found new layout. Num iterations: 12518981, Best results size: 33
Found new layout. Num iterations: 12519021, Best results size: 34
Found new layout. Num iterations: 12519058, Best results size: 34
Found new layout. Num iterations: 12519065, Best results size: 33
Found new layout. Num iterations: 12519450, Best results size: 32
Found new layout. Num iterations: 12519527, Best results size: 33
Found new layout. Num iterations: 12519534, Best results size: 33
Found new layout. Num iterations: 12521376, Best results size: 32
Found new layout. Num iterations: 12521383, Best results size: 33
Found new layout. Num iterations: 12521432, Best results size: 34
Found new layout. Num iterations: 12521439, Best results size: 35
Found new layout. Num iterations: 12521447, Best results size: 33
Found new layout. Num iterations: 12521454, Best results size: 32
Found new layout. Num iterations: 12521462, Best results size: 31
Found new layout. Num iterations: 12522135, Best results size: 30
Found new layout. Num iterations: 12522149, Best results size: 31
Found new layout. Num iterations: 12522159, Best results size: 31
Found new layout. Num iterations: 12522166, Best results size: 32
Found new layout. Num iterations: 12522173, Best results size: 33
Found new layout. Num iterations: 12522181, Best results size: 32
Found new layout. Num iterations: 12522188, Best results size: 29
Found new layout. Num iterations: 12522196, Best results size: 30
Found new layout. Num iterations: 12522251, Best results size: 29
Found new layout. Num iterations: 12522259, Best results size: 30
Found new layout. Num iterations: 12522703, Best results size: 31
Found new layout. Num iterations: 12522728, Best results size: 30
Found new layout. Num iterations: 12522735, Best results size: 31
Found new layout. Num iterations: 12522742, Best results size: 29
Found new layout. Num iterations: 12522815, Best results size: 29
Found new layout. Num iterations: 12523285, Best results size: 28
Found new layout. Num iterations: 12523292, Best results size: 29
Found new layout. Num iterations: 12523299, Best results size: 27
Found new layout. Num iterations: 12523384, Best results size: 27
Found new layout. Num iterations: 12523862, Best results size: 28
Found new layout. Num iterations: 12523930, Best results size: 29
Found new layout. Num iterations: 12526534, Best results size: 29
Found new layout. Num iterations: 12527668, Best results size: 30
Found new layout. Num iterations: 12528213, Best results size: 28
Found new layout. Num iterations: 12528220, Best results size: 29
Found new layout. Num iterations: 12528227, Best results size: 30
Found new layout. Num iterations: 12528271, Best results size: 31
Found new layout. Num iterations: 12528773, Best results size: 32
Found new layout. Num iterations: 12530825, Best results size: 33
Found new layout. Num iterations: 12530851, Best results size: 28
Found new layout. Num iterations: 12530862, Best results size: 27
Found new layout. Num iterations: 12540322, Best results size: 27
Found new layout. Num iterations: 12540348, Best results size: 28
Found new layout. Num iterations: 12540947, Best results size: 29
Found new layout. Num iterations: 12560621, Best results size: 29
Found new layout. Num iterations: 12560628, Best results size: 29
Found new layout. Num iterations: 12560636, Best results size: 30
Found new layout. Num iterations: 12560678, Best results size: 31
Found new layout. Num iterations: 12561378, Best results size: 30
Found new layout. Num iterations: 12561535, Best results size: 30
Found new layout. Num iterations: 12561542, Best results size: 28
Found new layout. Num iterations: 12561549, Best results size: 27
Found new layout. Num iterations: 12561619, Best results size: 28
Found new layout. Num iterations: 12562096, Best results size: 28
Found new layout. Num iterations: 12562395, Best results size: 29
Found new layout. Num iterations: 12596815, Best results size: 30
Found new layout. Num iterations: 12597173, Best results size: 31
Found new layout. Num iterations: 12624451, Best results size: 31
Found new layout. Num iterations: 12639783, Best results size: 32
Found new layout. Num iterations: 12644134, Best results size: 33
Found new layout. Num iterations: 12644638, Best results size: 34
Found new layout. Num iterations: 12651347, Best results size: 35
Found new layout. Num iterations: 12659844, Best results size: 36
Found new layout. Num iterations: 14776681, Best results size: 32
Found new layout. Num iterations: 14776688, Best results size: 33
Found new layout. Num iterations: 14776706, Best results size: 33
Found new layout. Num iterations: 14776737, Best results size: 34
Found new layout. Num iterations: 14776744, Best results size: 35
Found new layout. Num iterations: 14776751, Best results size: 35
Found new layout. Num iterations: 14776764, Best results size: 36
Found new layout. Num iterations: 14776784, Best results size: 37
Found new layout. Num iterations: 14777594, Best results size: 34
Found new layout. Num iterations: 14777619, Best results size: 35
Found new layout. Num iterations: 14777630, Best results size: 36
Found new layout. Num iterations: 14778388, Best results size: 37
Found new layout. Num iterations: 14778399, Best results size: 37
Found new layout. Num iterations: 14779238, Best results size: 36
Found new layout. Num iterations: 14779257, Best results size: 37
Found new layout. Num iterations: 14779264, Best results size: 37
Found new layout. Num iterations: 14807192, Best results size: 38
Found new layout. Num iterations: 14808811, Best results size: 38
Found new layout. Num iterations: 14808824, Best results size: 39
